Run Name,180725_dPPR10_only
Run Date,12:40:53 PM   07-26-18
Method Name,S200_5/150 FRET_WL
Export Format Version, 1.00
Method ID, 9545
Points/Second, 5.00
Number of Records,   6260
Offset from Run Start Time,00:00:00
Run End Time,00:20:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Trace 5,<Not Selected>
Trace 6,<Not Selected>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2
    88.6,-0.000055,-0.000020
    88.8,-0.000055,-0.000020
    89.0,-0.000048,-0.000024
    89.2,-0.000048,-0.000024
    89.4,-0.000041,-0.000024
    89.6,-0.000042,-0.000028
    89.8,-0.000035,-0.000029
    90.0,-0.000035,-0.000033
    90.2,-0.000028,-0.000028
    90.4,-0.000035,-0.000024
    90.6,-0.000028,-0.000033
    90.8,-0.000028,-0.000029
    91.0,-0.000034,-0.000028
    91.2,-0.000048,-0.000024
    91.4,-0.000041,-0.000033
    91.6,-0.000041,-0.000033
    91.8,-0.000041,-0.000032
    92.0,-0.000034,-0.000034
    92.2,-0.000034,-0.000035
    92.4,-0.000034,-0.000035
    92.6,-0.000034,-0.000036
    92.8,-0.000027,-0.000040
    93.0,-0.000034,-0.000031
    93.2,-0.000041,-0.000030
    93.4,-0.000041,-0.000025
    93.6,-0.000041,-0.000020
    93.8,-0.000034,-0.000020
    94.0,-0.000034,-0.000024
    94.2,-0.000035,-0.000020
    94.4,-0.000028,-0.000019
    94.6,-0.000028,-0.000020
    94.8,-0.000028,-0.000024
    95.0,-0.000028,-0.000018
    95.2,-0.000028,-0.000031
    95.4,-0.000027,-0.000030
    95.6,-0.000027,-0.000032
    95.8,-0.000026,-0.000038
    96.0,-0.000034,-0.000038
    96.2,-0.000040,-0.000040
    96.4,-0.000041,-0.000036
    96.6,-0.000041,-0.000051
    96.8,-0.000041,-0.000045
    97.0,-0.000047,-0.000059
    97.2,-0.000048,-0.000059
    97.4,-0.000048,-0.000055
    97.6,-0.000048,-0.000050
    97.8,-0.000055,-0.000040
    98.0,-0.000055,-0.000036
    98.2,-0.000048,-0.000037
    98.4,-0.000048,-0.000032
    98.6,-0.000047,-0.000033
    98.8,-0.000041,-0.000030
    99.0,-0.000055,-0.000035
    99.2,-0.000047,-0.000035
    99.4,-0.000047,-0.000035
    99.6,-0.000040,-0.000044
    99.8,-0.000047,-0.000038
   100.0,-0.000040,-0.000041
   100.2,-0.000041,-0.000041
   100.4,-0.000026,-0.000045
   100.6,-0.000027,-0.000051
   100.8,-0.000026,-0.000045
   101.0,-0.000027,-0.000045
   101.2,-0.000034,-0.000055
   101.4,-0.000041,-0.000051
   101.6,-0.000048,-0.000045
   101.8,-0.000041,-0.000045
   102.0,-0.000048,-0.000051
   102.2,-0.000047,-0.000045
   102.4,-0.000054,-0.000045
   102.6,-0.000040,-0.000045
   102.8,-0.000054,-0.000031
   103.0,-0.000047,-0.000025
   103.2,-0.000047,-0.000025
   103.4,-0.000033,-0.000025
   103.6,-0.000047,-0.000030
   103.8,-0.000040,-0.000034
   104.0,-0.000041,-0.000034
   104.2,-0.000041,-0.000038
   104.4,-0.000041,-0.000038
   104.6,-0.000041,-0.000038
   104.8,-0.000041,-0.000043
   105.0,-0.000041,-0.000038
   105.2,-0.000041,-0.000039
   105.4,-0.000041,-0.000039
   105.6,-0.000027,-0.000036
   105.8,-0.000034,-0.000041
   106.0,-0.000027,-0.000037
   106.2,-0.000034,-0.000037
   106.4,-0.000020,-0.000038
   106.6,-0.000034,-0.000037
   106.8,-0.000027,-0.000031
   107.0,-0.000034,-0.000031
   107.2,-0.000027,-0.000031
   107.4,-0.000034,-0.000026
   107.6,-0.000027,-0.000031
   107.8,-0.000028,-0.000031
   108.0,-0.000020,-0.000035
   108.2,-0.000028,-0.000035
   108.4,-0.000020,-0.000030
   108.6,-0.000020,-0.000031
   108.8,-0.000014,-0.000026
   109.0,-0.000020,-0.000027
   109.2,-0.000020,-0.000027
   109.4,-0.000020,-0.000032
   109.6,-0.000014,-0.000031
   109.8,-0.000020,-0.000040
   110.0,-0.000034,-0.000035
   110.2,-0.000034,-0.000044
   110.4,-0.000034,-0.000033
   110.6,-0.000041,-0.000037
   110.8,-0.000048,-0.000031
   111.0,-0.000048,-0.000032
   111.2,-0.000041,-0.000027
   111.4,-0.000041,-0.000023
   111.6,-0.000034,-0.000024
   111.8,-0.000034,-0.000024
   112.0,-0.000027,-0.000030
   112.2,-0.000027,-0.000030
   112.4,-0.000020,-0.000030
   112.6,-0.000027,-0.000024
   112.8,-0.000027,-0.000024
   113.0,-0.000028,-0.000018
   113.2,-0.000028,-0.000014
   113.4,-0.000021,-0.000018
   113.6,-0.000021,-0.000018
   113.8,-0.000021,-0.000018
   114.0,-0.000015,-0.000009
   114.2,-0.000008,-0.000014
   114.4,-0.000008,-0.000013
   114.6,-0.000001,-0.000013
   114.8,-0.000021,-0.000004
   115.0,-0.000021,-0.000010
   115.2,-0.000021,-0.000015
   115.4,-0.000014,-0.000010
   115.6,-0.000014,-0.000001
   115.8,-0.000001,0.000004
   116.0,-0.000008,0.000010
   116.2,-0.000001,0.000004
   116.4,-0.000015,0.000015
   116.6,-0.000015,0.000006
   116.8,-0.000022,0.000005
   117.0,-0.000022,0.000010
   117.2,-0.000021,0.000009
   117.4,-0.000014,0.000017
   117.6,-0.000021,0.000022
   117.8,-0.000001,0.000017
   118.0,-0.000001,0.000027
   118.2,0.000006,0.000018
   118.4,0.000019,0.000013
   118.6,0.000019,0.000013
   118.8,0.000019,0.000013
   119.0,0.000019,0.000009
   119.2,0.000026,0.000018
   119.4,0.000019,0.000024
   119.6,0.000019,0.000031
   119.8,0.000019,0.000034
   120.0,0.000026,0.000033
   120.2,0.000025,0.000038
   120.4,0.000026,0.000036
   120.6,0.000025,0.000035
   120.8,0.000039,0.000035
   121.0,0.000039,0.000035
   121.2,0.000052,0.000031
   121.4,0.000052,0.000031
   121.6,0.000052,0.000035
   121.8,0.000052,0.000039
   122.0,0.000060,0.000044
   122.2,0.000059,0.000043
   122.4,0.000066,0.000052
   122.6,0.000073,0.000055
   122.8,0.000072,0.000055
   123.0,0.000065,0.000064
   123.2,0.000065,0.000065
   123.4,0.000058,0.000070
   123.6,0.000058,0.000074
   123.8,0.000051,0.000070
   124.0,0.000058,0.000069
   124.2,0.000052,0.000059
   124.4,0.000045,0.000064
   124.6,0.000045,0.000064
   124.8,0.000038,0.000073
   125.0,0.000038,0.000074
   125.2,0.000045,0.000073
   125.4,0.000052,0.000078
   125.6,0.000066,0.000068
   125.8,0.000065,0.000059
   126.0,0.000079,0.000064
   126.2,0.000065,0.000054
   126.4,0.000066,0.000059
   126.6,0.000065,0.000059
   126.8,0.000072,0.000065
   127.0,0.000065,0.000065
   127.2,0.000072,0.000070
   127.4,0.000072,0.000074
   127.6,0.000079,0.000075
   127.8,0.000065,0.000075
   128.0,0.000066,0.000071
   128.2,0.000066,0.000070
   128.4,0.000066,0.000059
   128.6,0.000059,0.000064
   128.8,0.000059,0.000063
   129.0,0.000059,0.000064
   129.2,0.000059,0.000060
   129.4,0.000059,0.000059
   129.6,0.000058,0.000059
   129.8,0.000059,0.000059
   130.0,0.000059,0.000058
   130.2,0.000066,0.000056
   130.4,0.000066,0.000056
   130.6,0.000059,0.000052
   130.8,0.000059,0.000052
   131.0,0.000066,0.000048
   131.2,0.000059,0.000047
   131.4,0.000073,0.000056
   131.6,0.000066,0.000054
   131.8,0.000059,0.000053
   132.0,0.000059,0.000058
   132.2,0.000065,0.000063
   132.4,0.000072,0.000064
   132.6,0.000072,0.000064
   132.8,0.000072,0.000068
   133.0,0.000058,0.000068
   133.2,0.000058,0.000067
   133.4,0.000057,0.000067
   133.6,0.000057,0.000062
   133.8,0.000058,0.000058
   134.0,0.000058,0.000059
   134.2,0.000051,0.000053
   134.4,0.000044,0.000058
   134.6,0.000038,0.000048
   134.8,0.000038,0.000053
   135.0,0.000038,0.000048
   135.2,0.000038,0.000052
   135.4,0.000045,0.000052
   135.6,0.000051,0.000047
   135.8,0.000045,0.000047
   136.0,0.000052,0.000048
   136.2,0.000052,0.000049
   136.4,0.000051,0.000054
   136.6,0.000052,0.000050
   136.8,0.000052,0.000055
   137.0,0.000052,0.000056
   137.2,0.000051,0.000060
   137.4,0.000058,0.000056
   137.6,0.000051,0.000055
   137.8,0.000058,0.000060
   138.0,0.000065,0.000069
   138.2,0.000065,0.000069
   138.4,0.000065,0.000068
   138.6,0.000065,0.000073
   138.8,0.000065,0.000077
   139.0,0.000072,0.000072
   139.2,0.000065,0.000063
   139.4,0.000065,0.000063
   139.6,0.000079,0.000061
   139.8,0.000065,0.000060
   140.0,0.000072,0.000059
   140.2,0.000072,0.000053
   140.4,0.000079,0.000063
   140.6,0.000065,0.000058
   140.8,0.000065,0.000059
   141.0,0.000071,0.000059
   141.2,0.000058,0.000054
   141.4,0.000058,0.000054
   141.6,0.000058,0.000050
   141.8,0.000058,0.000054
   142.0,0.000052,0.000054
   142.2,0.000052,0.000064
   142.4,0.000051,0.000064
   142.6,0.000058,0.000063
   142.8,0.000065,0.000059
   143.0,0.000072,0.000059
   143.2,0.000065,0.000059
   143.4,0.000079,0.000050
   143.6,0.000072,0.000055
   143.8,0.000079,0.000056
   144.0,0.000072,0.000055
   144.2,0.000079,0.000054
   144.4,0.000065,0.000053
   144.6,0.000065,0.000048
   144.8,0.000072,0.000043
   145.0,0.000071,0.000048
   145.2,0.000078,0.000053
   145.4,0.000078,0.000058
   145.6,0.000085,0.000053
   145.8,0.000085,0.000062
   146.0,0.000078,0.000058
   146.2,0.000078,0.000063
   146.4,0.000085,0.000069
   146.6,0.000098,0.000075
   146.8,0.000098,0.000081
   147.0,0.000098,0.000086
   147.2,0.000098,0.000080
   147.4,0.000098,0.000080
   147.6,0.000098,0.000073
   147.8,0.000090,0.000068
   148.0,0.000097,0.000073
   148.2,0.000090,0.000063
   148.4,0.000090,0.000068
   148.6,0.000097,0.000066
   148.8,0.000090,0.000071
   149.0,0.000098,0.000080
   149.2,0.000098,0.000074
   149.4,0.000104,0.000079
   149.6,0.000111,0.000079
   149.8,0.000111,0.000080
   150.0,0.000110,0.000080
   150.2,0.000117,0.000089
   150.4,0.000110,0.000085
   150.6,0.000104,0.000086
   150.8,0.000097,0.000090
   151.0,0.000104,0.000094
   151.2,0.000098,0.000093
   151.4,0.000105,0.000098
   151.6,0.000104,0.000098
   151.8,0.000097,0.000085
   152.0,0.000104,0.000077
   152.2,0.000104,0.000073
   152.4,0.000110,0.000063
   152.6,0.000090,0.000063
   152.8,0.000090,0.000068
   153.0,0.000084,0.000068
   153.2,0.000090,0.000063
   153.4,0.000098,0.000068
   153.6,0.000092,0.000073
   153.8,0.000092,0.000073
   154.0,0.000092,0.000068
   154.2,0.000099,0.000068
   154.4,0.000085,0.000064
   154.6,0.000078,0.000054
   154.8,0.000072,0.000054
   155.0,0.000079,0.000051
   155.2,0.000086,0.000051
   155.4,0.000086,0.000041
   155.6,0.000086,0.000041
   155.8,0.000079,0.000042
   156.0,0.000079,0.000042
   156.2,0.000079,0.000037
   156.4,0.000065,0.000042
   156.6,0.000072,0.000043
   156.8,0.000072,0.000047
   157.0,0.000079,0.000041
   157.2,0.000065,0.000041
   157.4,0.000066,0.000040
   157.6,0.000072,0.000040
   157.8,0.000079,0.000040
   158.0,0.000086,0.000041
   158.2,0.000093,0.000042
   158.4,0.000079,0.000046
   158.6,0.000086,0.000051
   158.8,0.000079,0.000054
   159.0,0.000079,0.000054
   159.2,0.000079,0.000054
   159.4,0.000065,0.000054
   159.6,0.000072,0.000050
   159.8,0.000072,0.000054
   160.0,0.000079,0.000058
   160.2,0.000072,0.000058
   160.4,0.000079,0.000062
   160.6,0.000072,0.000066
   160.8,0.000085,0.000071
   161.0,0.000085,0.000076
   161.2,0.000092,0.000076
   161.4,0.000098,0.000090
   161.6,0.000091,0.000090
   161.8,0.000092,0.000085
   162.0,0.000092,0.000080
   162.2,0.000098,0.000081
   162.4,0.000084,0.000078
   162.6,0.000090,0.000075
   162.8,0.000090,0.000075
   163.0,0.000090,0.000074
   163.2,0.000097,0.000073
   163.4,0.000097,0.000077
   163.6,0.000104,0.000071
   163.8,0.000090,0.000070
   164.0,0.000097,0.000069
   164.2,0.000083,0.000073
   164.4,0.000076,0.000073
   164.6,0.000083,0.000068
   164.8,0.000077,0.000078
   165.0,0.000077,0.000074
   165.2,0.000070,0.000079
